Feature,Importance
OverallQual,0.5451818319082623
GrLivArea,0.09883178101279129
Qual_TotalSF,0.06665487755850298
GarageArea,0.04911763484343032
TotalBsmtSF,0.0357355223813105
1stFlrSF,0.03241633016526919
BsmtFinSF1,0.025108814267860033
YearBuilt,0.02429733266097505
LotArea,0.018204260138980115
TotalSF,0.01674209715016393
OverallCond,0.015138175821009917
YearRemodAdd,0.014127197472049479
LotFrontage,0.008720746338900357
BsmtUnfSF,0.00804487419273477
GarageYrBlt,0.0065491859013473725
OpenPorchSF,0.0064431998694669665
GarageFinish,0.0062316091007954206
2ndFlrSF,0.005751400936002574
BsmtFinType1,0.004399544568587294
MasVnrArea,0.0037108228306223408
KitchenQual,0.00356060296743663
BsmtExposure,0.002676430075243276
BedroomAbvGr,0.0019729066794935152
WoodDeckSF,0.00022248656942613036
EnclosedPorch,0.00016033458933835046
